"Detector","ID","Name","Description","Recommendation","DocURL"
"IAAS_CONFIGURATION_DETECTOR","INSTANCE_PUBLICLY_ACCESSIBLE","Instance is publicly accessible","This detector rule identifies all instances that have a public IP assigned and reside on a public subnet reachable via an Internet Gateway, has a route table entry to the Internet Gateway and allows traffic from any protocol.","Carefully consider allowing internet access to any instances. For an instance to be publicly addressable, it must have a public IP, exist in a public VCN subnet or in VCN NSG ingress security rule, the VCN must have an Internet Gateway enabled and be configured for outbound traffic and the security list for the subnet must be configured for all IPs and all ports (0.0.0.0/0).","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__INSTANCE_PUBLICLY_ACCESSIBLE"
"IAAS_CONFIGURATION_DETECTOR","INSTANCE_RUNNING_OPC","Instance is running an Oracle public image","This identifies all instances built from Oracle public images. Platform Images, Oracle Images and Partner images are considered as Oracle public images.","Ensure that your instances are all running sanctioned images from trusted sources.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__INSTANCE_RUNNING_OPC"
"IAAS_CONFIGURATION_DETECTOR","INSTANCE_WITHOUT_REQUIRED_TAGS","Instance is running without required Tags","If your OCI tenancy uses tags as a control for your environment, this control will alert when an instance is running without required tags.","Ensure that the instances are using required tags.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__INSTANCE_WITHOUT_REQUIRED_TAGS"
"IAAS_CONFIGURATION_DETECTOR","KEY_NOT_ROTATED","Key has not been rotated","For information security, you should periodically change or rotate, passwords, keys, and cryptographic materials. Rotating your keys in vault reduces the impact and probability of key compromise.","Ensure that you rotate the vault keys regularly.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__KEY_NOT_ROTATED"
"IAAS_CONFIGURATION_DETECTOR","LB_HAS_PUBLIC_IP","Load Balancer has public IP address","Use of a public IP address to access a load balancer increases your exposure to potential security and business continuity risks.","Ensure that the load balancer have a public IP address only if it is necessary.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__LB_HAS_PUBLIC_IP"
"IAAS_CONFIGURATION_DETECTOR","LB_CERTIFICATE_EXPIRING_SOON","Load balancer SSL certificate expiring soon","To ensure continuous security and usability, SSL certificates must be rotated in OCI.","Ensure that certificates are rotated on a timely basis.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__LB_CERTIFICATE_EXPIRING_SOON"
"IAAS_CONFIGURATION_DETECTOR","LB_WEAK_SSL_COMMUNICATION","Load balancer allows weak SSL communication","This detector rule triggers a problem when the protocol configured as part of SSL policy for the load balancer's listener or backendSet includes any version lesser than TLS 1.2. Older versions of Transport Layer Security are extremely risky and vulnerable to many attacks. The use of TLS 1.2+ is strongly encouraged by several standards like PCI-DSS and NIST.","Ensure that the SSL policy version configured for load balancer's listener and backendSet is at least TLS1.2.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__LB_WEAK_SSL_COMMUNICATION"
"IAAS_CONFIGURATION_DETECTOR","LB_WEAK_CIPHER_SUITE","Load balancer allows weak cipher suite","This detector rule triggers a problem when the cipher suite configured for the load balancer's listener or backendSet is oci-wider-compatible-ssl-cipher-suite-v1. This cipher suite includes algorithms like DES and RC4, which are largely considered weak and are prone to attacks. Additional cipher suites to monitor can be configured in the rule's Input Configuration. This detector is only applicable for predefined Cipher suites and not the Custom cipher suite values.","Recommended to use cipher suites that support stronger encryption.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__LB_WEAK_CIPHER_SUITE"
"IAAS_CONFIGURATION_DETECTOR","LB_NO_BACK_END_SET","Load balancer has no back-end set","A back-end set is a logical entity defined by a load balancing policy, a health check policy, and a list of back-end servers.","Ensure that you configure load balancers with back-end sets to control the health and access to a load balancer by defined instances.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__LB_NO_BACK_END_SET"
"IAAS_CONFIGURATION_DETECTOR","LB_NO_INBOUND_RULES_OR_LISTENERS","Load balancer has no inbound rules or listeners","OCI load balancers enable end-to-end TLS connections between a client's applications and your VCN. A listener is a logical entity that checks for incoming traffic on the load balancer's IP address. To handle TCP, HTTP, and HTTPS traffic, you must configure at least one listener per traffic type.","Ensure that your OCI load balancers use inbound rules or listeners to only allow access from known resources.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__LB_NO_INBOUND_RULES_OR_LISTENERS"
"IAAS_CONFIGURATION_DETECTOR","VCN_NSG_EGRESS_RULE_PORTS_CHECK","NSG egress rule contains disallowed IP/port","Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs outbound (egress) security rules apply to a set of virtual NICs in a VCN to allow access to specific ports and IP addresses.","Ensure that the egress rules for communication with the IP/port are permitted for this NSG.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__VCN_NSG_EGRESS_RULE_PORTS_CHECK"
"IAAS_CONFIGURATION_DETECTOR","VCN_NSG_INGRESS_RULE_PORTS_CHECK","NSG ingress rule contains disallowed IP/port","Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs inbound (ingress) security rules apply to a set of virtual NICs in a VCN to allow access to specific ports and IP addresses.","Ensure that the ingress rules for communication with the IP/port are permitted for this NSG.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__VCN_NSG_INGRESS_RULE_PORTS_CHECK"
"IAAS_CONFIGURATION_DETECTOR","BUCKET_ENCRYPTED_WITH_ORACLE_MANAGED_KEY","Object Storage bucket is encrypted with Oracle-managed key","Encryption of storage buckets provides an additional level of security on your data. Management of encryption keys is critical to protecting and accessing protected data. Some customers want to identify storage buckets encrypted Oracle-managed keys in order to apply their own key lifecycle management to the bucket.","Assign a vault key to this bucket","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__BUCKET_ENCRYPTED_WITH_ORACLE_MANAGED_KEY"
"IAAS_CONFIGURATION_DETECTOR","PASSWORD_TOO_OLD","Password is too old","Changing IAM Console password at least every 90 days is a security best practice. The longer that IAM credentials remain unchanged, the greater the risk that they can become compromised.","Rotate IAM Console password regularly, at least every 90 days.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__PASSWORD_TOO_OLD"
"IAAS_CONFIGURATION_DETECTOR","PASSWORD_POLICY_NOT_COMPLEX","Password policy does not meet complexity requirements","Complex passwords are harder to guess and can decrease the chances of unauthorized access or compromised data.","Oracle recommends that a strong password policy include combination of the lower and upper case alphabets, numbers and special characters with appropriate password length. Enable right policy rules under Identity -> Authentication settings","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__PASSWORD_POLICY_NOT_COMPLEX"
"IAAS_CONFIGURATION_DETECTOR","POLICY_GIVES_MANY_PRIVILEGES","Policy gives too many privileges","IAM policies give access and control of resources. If an IAM policy entry grants management (full control) of a family of resources or all resources to either the tenancy OR a compartment (e.g., allow <user|group> to manage <some-resource|all-resources> [in tenancy|in compartment]) and that group’s OCID or the policy OCID is NOT exempted from this check, a problem is created.","Ensure that the policy is restricted to allow only specific users to access the resources required to accomplish their job functions.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__POLICY_GIVES_MANY_PRIVILEGES"
"IAAS_CONFIGURATION_DETECTOR","BUCKET_READ_LOG_ACCESS_DISABLED","Read Log access disabled for bucket","Detector triggers a problem when the read access logs are not enabled for an Object Storage bucket. Access logs help customers secure their sensitive objects by providing visibility into the activities around read and write operations of the objects within the Object storage bucket.","Ensure read logs are enabled for the bucket and the logs are being continuously monitored by the security tools.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__BUCKET_READ_LOG_ACCESS_DISABLED"
"IAAS_CONFIGURATION_DETECTOR","RESOURCE_NOT_TAGGED","Resource is not tagged appropriately","Untagged resources in OCI indicate that infrastructure has been created without the use of corporate-sanctioned tags. Uncontrolled infrastructure can result in a weakened security posture. Alert if an untagged resource is found. Resource types that will trigger an alert if untagged: compute images (IMAGE), compute instances (INSTANCE), database systems (DB_SYSTEM), VCNs (VCN), object storage (BUCKET), and storage block volumes (VOLUME).","Verify that the configured tags are in use for compute images, compute instances, database systems, VCNs, object storage, and storage block volumes.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__RESOURCE_NOT_TAGGED"
"IAAS_CONFIGURATION_DETECTOR","SCANNED_CONTAINER_IMAGE_VULNERABILITY","Scanned container image has vulnerabilities","Prerequisite: Create a Container Scan Recipe and a Container Scan Target in the Scanning service. The Scanning service scans OCIR images to identify known cybersecurity vulnerabilities related to applications, libraries, operating systems, and services. This detector triggers a problem when the Scanning service has reported that an image has one or more CRITICAL (or lower severity, based on the Input Settings within the detector config) vulnerabilities.","Patch the reported CVE's detected on image by performing actions recommended for each CVE.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__SCANNED_CONTAINER_IMAGE_VULNERABILITY"
"IAAS_CONFIGURATION_DETECTOR","SCANNED_HOST_OPEN_PORTS","Scanned host has open ports","Prerequisite: Create a Host Scan Recipe and a Host Scan Target in the Scanning service. The Scanning service scans compute hosts to identify open ports. This detector triggers a problem when the Scanning service has reported that an instance has one or more open ports. Certain ports are required for operation and delivery of services but any open port beyond the intended list can potentially be used to exploit the services. You can modify the default list of allowed ports or disallowed ports in Input Settings within the detector.","Review if the identified ports should be open on this host and close them if they are not required to be open. If all open ports are correct, ensure that the allowed ports list contains all open port numbers. Additionally, ensure that the disallowed ports list does not contain any of the open port numbers.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__SCANNED_HOST_OPEN_PORTS"
"IAAS_CONFIGURATION_DETECTOR","SCANNED_HOST_VULNERABILITY","Scanned host has vulnerabilities","Prerequisite: Create a Host Scan Recipe and a Host Scan Target in the Scanning service. The Scanning service scans compute hosts to identify known cybersecurity vulnerabilities related to applications, libraries, operating systems, and services. This detector triggers a problem when the Scanning service has reported that an instance has one or more CRITICAL (or lower severity, based on the Input Settings within the detector config) vulnerabilities.","Patch the reported CVE's detected on host by performing actions recommended for each CVE.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__SCANNED_HOST_VULNERABILITY"
"IAAS_CONFIGURATION_DETECTOR","POLICY_TENANCY_ADMIN_GROUP_PRIVILEGES","Tenancy admin privilege granted to group","Default tenancy administrator group members can perform any action on all resources in that tenancy. This high-privilege entitlement must be controlled and restricted to only those users who need it to perform their job functions.","Verify with the OCI administrator that this entitlement grant was sanctioned and that the membership of the group remains valid after the grant of the administrator privilege.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__POLICY_TENANCY_ADMIN_GROUP_PRIVILEGES"
"IAAS_CONFIGURATION_DETECTOR","NO_MFA_ENABLED_FOR_USER","User does not have MFA enabled","Multifactor authentication provides an additional layer of security, on top of user name and password. A second verification factor is required each time a user logs in. During the authentication process, users can enable a single device as a trusted device for a maximum period of one day. The email passcode must not be valid for more than 10 minutes. All this provides a degree of protection from password spraying, credential stuffing, and account takeover attacks.","Enable MFA for all users, using the Oracle Mobile Authenticator (OMA) application on each user's mobile device and the one-time passcode (OTP) sent to the user's registered email address.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__NO_MFA_ENABLED_FOR_USER"
"IAAS_CONFIGURATION_DETECTOR","USER_HAS_API_KEYS","User has API keys","IAM API keys are credentials used to grant programmatic access to resources. ","Ensure that OCI access by administrators via API keys is performed as an exception. Do not hard code IAM credentials directly in software or documents to a wide audience.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__USER_HAS_API_KEYS"
"IAAS_CONFIGURATION_DETECTOR","SECURITY_LISTS_OPEN_SOURCE","VCN Security list allows traffic to non-public port from all sources (0.0.0.0/0)","Use VCN security lists to restrict network access to instances in a subnet. To prevent unauthorized access or attacks on compute instances, Oracle recommends that you use a VCN security list to allow SSH or RDP access only from authorized ICIDR blocks, rather than leaving them open to the internet (0.0.0.0/0)","To prevent unauthorized access or attacks on compute instances, Oracle recommends that you use a VCN security list to allow SSH or RDP access only from authorized CIDR blocks, rather than leaving them open to the internet (0.0.0.0/0).","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__SECURITY_LISTS_OPEN_SOURCE"
"IAAS_CONFIGURATION_DETECTOR","SECURITY_LISTS_OPEN_PORTS","VCN Security list allows traffic to restricted port","This detector rule triggers a problem when traffic is allowed to certain restricted ports (see Input Settings, Restricted Protocol:Ports List) as part of the Security list ingress rule. If ""Restricted Protocol:Ports List"" includes port values that are identified or allowed for your workloads, then modify the list of ports in Input Settings accordingly.","Additional details section of the problem provides a list of open Restricted ports that triggered this problem. Ensure that your OCI VCNs use security lists with ingress or inbound rules to only allow traffic access to identified ports. Review if detected ports should be open on this security list Ingress rule and close them if they are not required to be open. It is also recommended to check the ""Restricted Protocol:Ports List"" in the Input setting of this detector rule and modify it to allow certain required ports and thus notifying Cloud Guard to not detect a problem for those ports.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__SECURITY_LISTS_OPEN_PORTS"
"IAAS_CONFIGURATION_DETECTOR","VCN_HAS_INTERNET_GATEWAY_ATTACHED","VCN has InternetGateway attached","Gateways provide external connectivity to hosts in a VCN. They include Internet Gateway (IGW) for Internet connectivity. ","Ensure that internet gateways are authorized to be attached to a VCN, and that this attachment doesn’t expose resources to the internet. Ensure that security lists with ingress / inbound rules and those security lists are not configured to allow access from all IP addresses 0.0.0.0/0.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__VCN_HAS_INTERNET_GATEWAY_ATTACHED"
"IAAS_CONFIGURATION_DETECTOR","VCN_HAS_LPG_ATTACHED","VCN has Local Peering Gateway attached","Gateways provide external connectivity to hosts in a VCN. They include Local Peering Gateway (LPG) for connectivity to peered VCN. ","Ensure that local peering gateways are authorized to be attached to a VCN, and that this attachment doesn’t expose resources to the internet.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__VCN_HAS_LPG_ATTACHED"
"IAAS_CONFIGURATION_DETECTOR","VCN_NO_INBOUND_SECURITY_LIST","VCN has no inbound Security List","Security lists provide stateful and stateless firewall capability to control network access to your instances. A security list is configured at the subnet level and enforced at the instance level. You can apply multiple security lists to a subnet where a network packet is allowed if it matches any rule in the security lists.","Ensure that your OCI VCNs use security lists with ingress or inbound rules to only allow access from known resources.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__VCN_NO_INBOUND_SECURITY_LIST"
"IAAS_CONFIGURATION_DETECTOR","VNIC_WITHOUT_NETWORK_SECURITY_GROUP","VNIC without associated network security group","A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.","Ensure that the missing NSG association from this VNIC is expected.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__VNIC_WITHOUT_NETWORK_SECURITY_GROUP"
"IAAS_CONFIGURATION_DETECTOR","BUCKET_WRITE_LOG_ACCESS_DISABLED","Write Log access disabled for bucket","Detector triggers a problem when the write access logs are not enabled for an Object Storage bucket. Access logs help customers secure their sensitive objects by providing visibility into the activities around read and write operations of the objects within the Object storage bucket.","Ensure write logs are enabled for the bucket and the logs are being continuously monitored by the security tools.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__BUCKET_WRITE_LOG_ACCESS_DISABLED"
